2026-06-28 22:31:12.337 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2026-06-28 22:31:12.426 [main] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Attempting to connect to: [100.104.11.60:5672]
2026-06-28 22:31:15.086 [main] INFO  o.s.a.rabbit.connection.CachingConnectionFactory - Created new connection: rabbitConnectionFactory#4301fa39:0/SimpleConnection@3f465ae [delegate=amqp://admin@100.104.11.60:5672/, localPort=50390]
2026-06-28 22:31:15.093 [main] INFO  org.springframework.amqp.rabbit.core.RabbitAdmin - Auto-declaring a non-durable or auto-delete Exchange (sysUser.exchange) durable:true, auto-delete:true. It will be deleted by the broker if it shuts down, and can be redeclared by closing and reopening the connection.
2026-06-28 22:31:20.844 [main] INFO  com.platform.PlatformApplication - Started PlatformApplication in 12.058 seconds (process running for 12.51)
2026-06-28 22:31:27.086 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-06-28 22:31:27.086 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-06-28 22:31:27.087 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2026-06-28 22:31:27.468 [http-nio-8080-exec-1] INFO  com.platform.framework.aspect.ControllerLogAspect - [请求入参] GET /sysUser/info | 方法=UserController.info() | 入参=[]
2026-06-28 22:31:27.547 [http-nio-8080-exec-1] DEBUG com.platform.service.mapper.SysUserMapper.selectList - ==>  Preparing: SELECT id,username,password,nickname,avatar,gender,birthday,email,phone,dept_id,dept_name,post_ids,role_ids,login_ip,login_date,password_update_time,remark,status,is_delete,create_by,create_time,update_by,update_time FROM sysUser WHERE (id = ? AND is_delete = ?)
2026-06-28 22:31:27.560 [http-nio-8080-exec-1] DEBUG com.platform.service.mapper.SysUserMapper.selectList - ==> Parameters: 1(Long), 0(Integer)
2026-06-28 22:31:27.574 [http-nio-8080-exec-1] DEBUG com.platform.service.mapper.SysUserMapper.selectList - <==      Total: 1
2026-06-28 22:31:27.588 [http-nio-8080-exec-1] INFO  com.platform.framework.aspect.ControllerLogAspect - [响应出参] GET /sysUser/info | 耗时=111ms | 出参={"code":200,"msg":"操作成功","data":{"id":1,"username":"admin","nickname":"超级管理员","avatar":"/avatar/admin.png","gender":1,"birthday":[1990,1,1],"email":"******","phone":"******","deptId":1,"deptName":"技术研发部","roleIds":"1","status":1,"loginIp":"127.0.0.1","loginDate":[2026,6,28,10,0],"createTime":[2026,6,28,4,16,59]},"success":true}
2026-06-28 22:32:05.483 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-2] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Waiting for workers to finish.
2026-06-28 22:32:05.485 [org.springframework.amqp.rabbit.RabbitListenerEndpointContainer#0-2] INFO  o.s.a.r.listener.SimpleMessageListenerContainer - Successfully waited for workers to finish.
2026-06-28 22:32:05.486 [SpringApplicationShutdownHook] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2026-06-28 22:32:05.495 [tomcat-shutdown] INFO  o.s.boot.web.embedded.tomcat.GracefulShutdown - Graceful shutdown complete
2026-06-28 22:32:06.096 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2026-06-28 22:32:06.101 [SpringApplicationShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2026-06-28 22:44:41.485 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2026-06-28 22:44:41.517 [main] INFO  com.platform.PlatformApplication - Starting PlatformApplication using Java 17.0.19 with PID 5936 (C:\Users\29141\Desktop\project\project-admin\target\classes started by 29141 in C:\Users\29141\Desktop\project)
2026-06-28 22:44:41.517 [main] DEBUG com.platform.PlatformApplication - Running with Spring Boot v3.2.5, Spring v6.1.6
2026-06-28 22:44:41.517 [main] INFO  com.platform.PlatformApplication - The following 1 profile is active: "dev"
2026-06-28 22:44:42.130 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-06-28 22:44:42.133 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-06-28 22:44:42.158 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 16 ms. Found 0 Redis repository interfaces.
2026-06-28 22:44:42.311 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=1ae0ceec-896c-35d0-9859-61774853c41a
2026-06-28 22:44:42.729 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
